***************
2018/08/27 10:43:18 log:getTables set data, key TableInfo_dev1_muchnewdb
***************
2018/08/27 10:43:22 log:getColumnInfo no data, key ColumnInfo_dev1_muchnewdb_lead_basic
***************
2018/08/27 10:43:22 log:getColumnInfo set data, key ColumnInfo_dev1_muchnewdb_lead_basic
***************
2018/08/27 16:16:48 log:getTables set data, key TableInfo_dev1_muchnewdb
***************
2018/08/27 16:27:15 log:getTables set data, key TableInfo_dev1_muchnewdb
***************
2018/08/27 16:27:18 log:getColumnInfo set data, key ColumnInfo_dev1_muchnewdb_lead_basic
***************
2018/08/27 18:02:20 log:getTables set data, key TableInfo_stageX_muchnewdb
***************
2018/08/27 18:02:23 log:getColumnInfo no data, key ColumnInfo_stageX_muchnewdb_client_basic
***************
2018/08/27 18:02:23 log:getColumnInfo set data, key ColumnInfo_stageX_muchnewdb_client_basic
